ano_competencia,mes_competencia,municipio,sigla_uf,valor_parcela
2023,9,Campo Alegre,AL,25.0
2023,9,Campo Alegre,AL,25.0
2023,9,Maceió,AL,25.0
2023,9,Maceió,AL,25.0
2023,9,Maceió,AL,25.0
2023,9,Maceió,AL,25.0
2023,9,Maceió,AL,25.0
2023,9,Maceió,AL,25.0
2023,9,Maceió,AL,25.0
2023,9,Maceió,AL,25.0
2023,9,Maceió,AL,25.0
2023,9,Maceió,AL,25.0
2023,9,Maceió,AL,25.0
2023,9,Maceió,AL,25.0
2023,9,Maceió,AL,25.0
2023,9,Maceió,AL,25.0
2023,9,Maceió,AL,25.0
2023,9,Maceió,AL,25.0
2023,9,Maceió,AL,25.0
2023,9,Maceió,AL,25.0
2023,9,Maragogi,AL,25.0
2023,9,Maragogi,AL,25.0
2023,9,Maravilha,AL,25.0
2023,9,Marechal Deodoro,AL,25.0
2023,9,Marechal Deodoro,AL,25.0
2023,9,Marechal Deodoro,AL,25.0
2023,9,Marechal Deodoro,AL,25.0
2023,9,Matriz de Camaragibe,AL,25.0
2023,9,Palmeira dos Índios,AL,25.0
2023,9,Paripueira,AL,25.0
2023,9,Paripueira,AL,25.0
2023,9,Penedo,AL,25.0
2023,9,Penedo,AL,25.0
2023,9,Penedo,AL,25.0
2023,9,Pilar,AL,25.0
2023,9,Porto Calvo,AL,25.0
2023,9,São José da Laje,AL,25.0
2023,9,Teotônio Vilela,AL,25.0
2023,9,Teotônio Vilela,AL,25.0
2023,9,Traipu,AL,25.0
2023,9,Água Branca,AL,50.0
2023,9,Anadia,AL,50.0
2023,9,Arapiraca,AL,50.0
2023,9,Arapiraca,AL,50.0
2023,9,Arapiraca,AL,50.0
2023,9,Arapiraca,AL,50.0
2023,9,Arapiraca,AL,50.0
2023,9,Arapiraca,AL,50.0
2023,9,Arapiraca,AL,50.0
2023,9,Arapiraca,AL,50.0
2023,9,Atalaia,AL,50.0
2023,9,Barra de Santo Antônio,AL,50.0
2023,9,Barra de Santo Antônio,AL,50.0
2023,9,Barra de Santo Antônio,AL,50.0
2023,9,Batalha,AL,50.0
2023,9,Belo Monte,AL,50.0
2023,9,Boca da Mata,AL,50.0
2023,9,Campo Alegre,AL,50.0
2023,9,Campo Alegre,AL,50.0
2023,9,Campo Alegre,AL,50.0
2023,9,Campo Grande,AL,50.0
2023,9,Capela,AL,50.0
2023,9,Colônia Leopoldina,AL,50.0
2023,9,Coqueiro Seco,AL,50.0
2023,9,Coruripe,AL,50.0
2023,9,Coruripe,AL,50.0
2023,9,Craíbas,AL,50.0
2023,9,Delmiro Gouveia,AL,50.0
2023,9,Flexeiras,AL,50.0
2023,9,Igreja Nova,AL,50.0
2023,9,Inhapi,AL,50.0
2023,9,Limoeiro de Anadia,AL,50.0
2023,9,Limoeiro de Anadia,AL,50.0
2023,9,Limoeiro de Anadia,AL,50.0
2023,9,Limoeiro de Anadia,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maceió,AL,50.0
2023,9,Maragogi,AL,50.0
2023,9,Maragogi,AL,50.0
2023,9,Maragogi,AL,50.0
2023,9,Maragogi,AL,50.0
2023,9,Maragogi,AL,50.0
2023,9,Maragogi,AL,50.0
2023,9,Maragogi,AL,50.0
2023,9,Maragogi,AL,50.0
2023,9,Maragogi,AL,50.0
2023,9,Maragogi,AL,50.0
2023,9,Maragogi,AL,50.0
2023,9,Maragogi,AL,50.0
2023,9,Marechal Deodoro,AL,50.0
2023,9,Marechal Deodoro,AL,50.0
2023,9,Marechal Deodoro,AL,50.0
2023,9,Marechal Deodoro,AL,50.0
2023,9,Marechal Deodoro,AL,50.0
2023,9,Marechal Deodoro,AL,50.0
2023,9,Marechal Deodoro,AL,50.0
2023,9,Marechal Deodoro,AL,50.0
2023,9,Marechal Deodoro,AL,50.0
2023,9,Marechal Deodoro,AL,50.0
2023,9,Marechal Deodoro,AL,50.0
2023,9,Marechal Deodoro,AL,50.0
2023,9,Marechal Deodoro,AL,50.0
2023,9,Marechal Deodoro,AL,50.0
2023,9,Matriz de Camaragibe,AL,50.0
2023,9,Matriz de Camaragibe,AL,50.0
2023,9,Matriz de Camaragibe,AL,50.0
